indicator_id,indicator_name,type,category,is_active,disaggregation_count,organizations
313,"Number OF Condoms Distributed TO AYP.",multi_int,hiv_prevention,true,1,"TEBELOPELE"
57,"Number of condoms distributed to AYPS",number,hiv_prevention,true,0,"TEBELOPELE"
10,"Number of condoms distributed to KVPs",number,hiv_prevention,true,1,"BOFWA | TEBELOPELE"
190,"Number of condoms distributed to KVPs. [DUPLICATE->10]",number,events,true,1,"BOFWA"
193,"Number of condoms distributed to KVPs. [DUPLICATE->10]",number,events,true,0,"BOFWA"
238,"Number of condoms distributed to KVPs. [DUPLICATE->10]",number,events,true,0,"BOFWA"
40,"Number of counselling sessions conducted",number,hiv_prevention,true,0,"TEBELOPELE"
54,"Number of CSOs trained and equipped to provide comprehensive psychosocial and practical support",number,hiv_prevention,true,0,"TEBELOPELE"
145,"Number of CSOs trained and equipped to provide comprehensive psychosocial and practical support, including HIV-related support.",number,events,true,6,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Inspired Horizons | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Ovajhu | Ovajhuha | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE | Tebelopele testing centres"
146,"Number of CSOs trained and equipped to provide comprehensive psychosocial and practical support, including HIV-related support. [DUPLICATE->145]",number,events,true,0,"BOFWA"
215,"Number of CSOs trained and equipped to provide comprehensive psychosocial and practical support, including HIV-related support. [DUPLICATE->145]",number,events,true,0,"BOFWA"
74,"Number of CSOs trained and equipped to provide comprehensive psychosocial and practical support, including HIV-related support. [DUPLICATE->145]",number,hiv_prevention,true,0,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE"
87,"Number of CSOs trained and equipped to provide comprehensive psychosocial and practical support, including HIV-related support. [DUPLICATE->145]",number,other,true,6,"TEBELOPELE"
42,"Number of functional cancer support groups",number,ncd,true,0,"TEBELOPELE"
43,"Number of functional tobacco cessation and alcohol abuse support group",number,ncd,true,0,"TEBELOPELE"
204,"Number of healthcare workers trained on medical ethics and human rights.",number,events,true,10,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Inspired Horizons | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Ovajhu | Ovajhuha | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE | Tebelopele testing centres"
207,"Number of healthcare workers trained on medical ethics and human rights. [DUPLICATE->204]",number,events,true,0,"BOFWA"
245,"Number of healthcare workers trained on medical ethics and human rights. [DUPLICATE->204]",number,events,true,0,"BOFWA"
81,"Number of healthcare workers trained on medical ethics and human rights. [DUPLICATE->204]",number,hiv_prevention,true,0,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE"
8,"Number of individuals screened for GBV [DUPLICATE->172]",number,hiv_prevention,true,0,"TEBELOPELE"
172,"Number of individuals screened for GBV.",number,events,true,1,"BOFWA | TEBELOPELE"
175,"Number of individuals screened for GBV. [DUPLICATE->172]",number,events,true,0,"BOFWA"
229,"Number of individuals screened for GBV. [DUPLICATE->172]",number,events,true,0,"BOFWA"
113,"Number of individuals screened for GBV. [DUPLICATE->172]",number,other,true,1,"TEBELOPELE"
184,"Number of KPs taking up services.",number,events,true,1,"BOFWA"
187,"Number of KPs taking up services. [DUPLICATE->184]",number,events,true,0,"BOFWA"
235,"Number of KPs taking up services. [DUPLICATE->184]",number,events,true,1,"BOFWA"
158,"Number of KVPs tested for HIV.",number,events,true,1,"BOFWA"
161,"Number of KVPs tested for HIV. [DUPLICATE->158]",number,events,true,0,"BOFWA"
222,"Number of KVPs tested for HIV. [DUPLICATE->158]",number,events,true,1,"BOFWA"
196,"Number of lubricants distributed",number,events,true,15,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Inspired Horizons | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Ovajhu | Ovajhuha | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE | Tebelopele testing centres"
199,"Number of lubricants distributed [DUPLICATE->196]",number,events,true,0,"BOFWA"
241,"Number of lubricants distributed [DUPLICATE->196]",number,events,true,0,"BOFWA"
13,"Number of lubricants distributed [DUPLICATE->196]",number,hiv_prevention,true,6,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE"
26,"Number of Lubricants distributed to PLHIV",number,hiv_prevention,true,0,"TEBELOPELE"
25,"Number of Male Condoms distributed",number,hiv_prevention,true,0,"TEBELOPELE"
19,"Number of media engagements conducted",number,events,true,12,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Inspired Horizons | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Ovajhu | Ovajhuha | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE | Tebelopele testing centres"
136,"Number of media engagements conducted [DUPLICATE->19]",number,other,true,5,"TEBELOPELE"
285,"Number of media platforms used  per quarter.",number,events,true,11,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Inspired Horizons | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Ovajhu | Ovajhuha | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE | Tebelopele testing centres"
154,"Number of media platforms used per quarter [DUPLICATE->285]",number,events,true,0,"BOFWA"
157,"Number of media platforms used per quarter [DUPLICATE->285]",number,events,true,0,"BOFWA"
220,"Number of media platforms used per quarter [DUPLICATE->285]",number,events,true,0,"BOFWA"
17,"Number of media platforms used per quarter [DUPLICATE->285]",number,hiv_prevention,true,0,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Ovajhu | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE"
133,"Number of media platforms used per quarter [DUPLICATE->285]",number,other,true,4,"TEBELOPELE"
61,"Number of meetings conducted",number,events,true,0,"TEBELOPELE"
62,"Number of outreach activities conducted",number,events,true,0,"TEBELOPELE"
30,"Number of people engaged with NCD prevention and control messages through social media",number,ncd,true,0,"TEBELOPELE"
162,"Number of people linked to care.",number,events,true,1,"BOFWA"
165,"Number of people linked to care. [DUPLICATE->162]",number,events,true,0,"BOFWA"
224,"Number of people linked to care. [DUPLICATE->162]",number,events,true,0,"BOFWA"
79,"Number of people linked to justice services [DUPLICATE->170]",number,hiv_prevention,true,0,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE"
170,"Number of people linked to justice services.",number,events,true,10,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Inspired Horizons | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Ovajhu | Ovajhuha | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE | Tebelopele testing centres"
173,"Number of people linked to justice services. [DUPLICATE->170]",number,events,true,0,"BOFWA"
228,"Number of people linked to justice services. [DUPLICATE->170]",number,events,true,0,"BOFWA"
111,"Number of people linked to justice services. [DUPLICATE->170]",number,other,true,1,"TEBELOPELE"
78,"Number of people provided with legal aid services [DUPLICATE->168]",number,hiv_prevention,true,0,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE"
168,"Number of people provided with legal aid services.",number,events,true,10,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Inspired Horizons | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Ovajhu | Ovajhuha | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE | Tebelopele testing centres"
171,"Number of people provided with legal aid services. [DUPLICATE->168]",number,events,true,0,"BOFWA"
227,"Number of people provided with legal aid services. [DUPLICATE->168]",number,events,true,0,"BOFWA"
109,"Number of people provided with legal aid services. [DUPLICATE->168]",number,other,true,1,"TEBELOPELE"
33,"Number of people reached with cervical cancer education",number,ncd,true,0,"TEBELOPELE"
150,"Number of people reached with HIV prevention messages.",number,events,true,5,"BOFWA | TEBELOPELE"
153,"Number of people reached with HIV prevention messages. [DUPLICATE->150]",number,events,true,0,"BOFWA"
218,"Number of people reached with HIV prevention messages. [DUPLICATE->150]",number,events,true,5,"BOFWA | TEBELOPELE"
32,"Number of people reached with prostate cancer education",number,ncd,true,0,"TEBELOPELE"
31,"Number of people reached with self-breast cancer examination education",number,ncd,true,0,"TEBELOPELE"
5,"Number of people reached with stigma reduction messages [DUPLICATE->152]",number,hiv_prevention,true,0,"TEBELOPELE"
152,"Number of people reached with stigma reduction messages.",number,events,true,10,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Inspired Horizons | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Ovajhu | Ovajhuha | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE | Tebelopele testing centres"
155,"Number of people reached with stigma reduction messages. [DUPLICATE->152]",number,events,true,0,"BOFWA"
219,"Number of people reached with stigma reduction messages. [DUPLICATE->152]",number,events,true,0,"BOFWA"
77,"Number of people reached with stigma reduction messages. [DUPLICATE->152]",number,hiv_prevention,true,0,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE"
98,"Number of people reached with stigma reduction messages. [DUPLICATE->152]",number,other,true,1,"TEBELOPELE"
39,"Number of people receiving counselling",number,hiv_prevention,true,0,"TEBELOPELE"
