indicator_id,indicator_name,type,category,is_active,disaggregation_count,organizations
75,"Number of sub-recipients submitting quality reports per months. [DUPLICATE->147]",number,hiv_prevention,true,0,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE"
88,"Number of sub-recipients submitting quality reports per months. [DUPLICATE->147]",number,other,true,1,"TEBELOPELE"
18,"Number of target specific demand creation activities conducted",number,events,true,14,"BOFWA | Bobonong Home Based Care | Gumare Advisory | Hope Worldwide | House of Angels | INERELA | Inspired Horizons | Mabogo aa Thebana Association South | Mind Power | Mopipi International Trust | Ovajhu | Ovajhuha | Positive Moments | Rena le Seabe | Sentebale | Social Dialogue | Stepping Stone International | TEBELOPELE | Tebelopele testing centres"
135,"Number of target specific demand creation activities conducted [DUPLICATE->18]",number,other,true,4,"TEBELOPELE"
60,"Number of trainings conducted",number,events,true,0,"TEBELOPELE"
63,"Number of workshops conducted",number,events,true,0,"TEBELOPELE"
315,"Numberof Lubricants Distributed",multi_int,hiv_prevention,true,1,"TEBELOPELE"
139,"Numerator",number,events,true,2,"BOFWA | TEBELOPELE"
140,"Numerator [DUPLICATE->139]",number,events,true,0,"BOFWA"
4,"Total Number of Key and Vulnerable Populations Reached with HIV TESTING Messages",number,hiv_prevention,true,0,"TEBELOPELE"
49,"Total Number of Key and Vulnerable Populations Reached with PREP Messages",number,hiv_prevention,true,0,"TEBELOPELE"
53,"Total number of lubricants distributed",number,hiv_prevention,true,0,"TEBELOPELE"
64,"Total Number of People Reached with  PEP Messages",number,hiv_prevention,true,0,"Ovajhu | Social Dialogue | TEBELOPELE"
69,"Total Number of People Reached with ARV Based Prevention Messages",number,events,true,0,"Ovajhu | Social Dialogue | TEBELOPELE"
67,"Total Number of People Reached with Condom Use Messages",number,hiv_prevention,true,0,"Ovajhu | Social Dialogue | TEBELOPELE"
70,"Total Number of People Reached with EMTCT Messages",number,hiv_prevention,true,0,"Ovajhu | Social Dialogue | TEBELOPELE"
66,"Total Number of People Reached with GBV Messages",number,hiv_prevention,true,0,"Ovajhu | Social Dialogue | TEBELOPELE"
71,"Total Number of People Reached with HIV Messages",number,hiv_prevention,true,0,"Ovajhu | Social Dialogue | TEBELOPELE"
55,"Total Number of people Reached with HIV TESTING Messages",number,hiv_prevention,true,0,"Ovajhu | Social Dialogue | TEBELOPELE"
68,"Total Number of People Reached with HIV Treatment Messages",number,hiv_prevention,true,0,"Ovajhu | Social Dialogue | TEBELOPELE"
29,"Total number of people reached with NCD prevention and Control messages",number,ncd,true,0,"TEBELOPELE"
65,"Total Number of people Reached with PREP Messages",number,hiv_prevention,true,0,"Ovajhu | Social Dialogue | TEBELOPELE"
