indicator_code,indicator_name,sex,age_band,value
18,Number of people elligible for justice services.,Male,65+,0
18,Number of people elligible for justice services.,Female,10-14,0
18,Number of people elligible for justice services.,Female,15-19,0
18,Number of people elligible for justice services.,Female,20-24,0
18,Number of people elligible for justice services.,Female,25-29,1
18,Number of people elligible for justice services.,Female,30-34,0
18,Number of people elligible for justice services.,Female,35-39,0
18,Number of people elligible for justice services.,Female,40-44,0
18,Number of people elligible for justice services.,Female,45-49,0
18,Number of people elligible for justice services.,Female,50-54,0
18,Number of people elligible for justice services.,Female,55-59,0
18,Number of people elligible for justice services.,Female,60-64,0
18,Number of people elligible for justice services.,Female,65+,0
19,Number of people linked to justice services.,Male,10-14,0
19,Number of people linked to justice services.,Male,15-19,0
19,Number of people linked to justice services.,Male,20-24,0
19,Number of people linked to justice services.,Male,25-29,0
19,Number of people linked to justice services.,Male,30-34,0
19,Number of people linked to justice services.,Male,35-39,0
19,Number of people linked to justice services.,Male,40-44,0
19,Number of people linked to justice services.,Male,45-49,0
19,Number of people linked to justice services.,Male,50-54,0
19,Number of people linked to justice services.,Male,55-59,0
19,Number of people linked to justice services.,Male,60-64,0
19,Number of people linked to justice services.,Male,65+,0
19,Number of people linked to justice services.,Female,10-14,0
19,Number of people linked to justice services.,Female,15-19,0
19,Number of people linked to justice services.,Female,20-24,0
19,Number of people linked to justice services.,Female,25-29,0
19,Number of people linked to justice services.,Female,30-34,0
19,Number of people linked to justice services.,Female,35-39,0
19,Number of people linked to justice services.,Female,40-44,0
19,Number of people linked to justice services.,Female,45-49,0
19,Number of people linked to justice services.,Female,50-54,0
19,Number of people linked to justice services.,Female,55-59,0
19,Number of people linked to justice services.,Female,60-64,0
19,Number of people linked to justice services.,Female,65+,0
20,Number of individuals eligible for GBV screening,Male,10-14,1
20,Number of individuals eligible for GBV screening,Male,15-19,56
20,Number of individuals eligible for GBV screening,Male,20-24,151
20,Number of individuals eligible for GBV screening,Male,25-29,200
20,Number of individuals eligible for GBV screening,Male,30-34,228
20,Number of individuals eligible for GBV screening,Male,35-39,176
20,Number of individuals eligible for GBV screening,Male,40-44,154
20,Number of individuals eligible for GBV screening,Male,45-49,83
20,Number of individuals eligible for GBV screening,Male,50-54,46
20,Number of individuals eligible for GBV screening,Male,55-59,21
20,Number of individuals eligible for GBV screening,Male,60-64,15
20,Number of individuals eligible for GBV screening,Male,65+,19
20,Number of individuals eligible for GBV screening,Female,10-14,1
20,Number of individuals eligible for GBV screening,Female,15-19,20
20,Number of individuals eligible for GBV screening,Female,20-24,62
20,Number of individuals eligible for GBV screening,Female,25-29,126
20,Number of individuals eligible for GBV screening,Female,30-34,95
20,Number of individuals eligible for GBV screening,Female,35-39,75
20,Number of individuals eligible for GBV screening,Female,40-44,45
20,Number of individuals eligible for GBV screening,Female,45-49,24
20,Number of individuals eligible for GBV screening,Female,50-54,16
20,Number of individuals eligible for GBV screening,Female,55-59,5
20,Number of individuals eligible for GBV screening,Female,60-64,9
20,Number of individuals eligible for GBV screening,Female,65+,4
21,Number of individuals screened for GBV.,Male,10-14,1
21,Number of individuals screened for GBV.,Male,15-19,52
21,Number of individuals screened for GBV.,Male,20-24,133
21,Number of individuals screened for GBV.,Male,25-29,181
21,Number of individuals screened for GBV.,Male,30-34,213
21,Number of individuals screened for GBV.,Male,35-39,168
21,Number of individuals screened for GBV.,Male,40-44,152
21,Number of individuals screened for GBV.,Male,45-49,78
21,Number of individuals screened for GBV.,Male,50-54,45
21,Number of individuals screened for GBV.,Male,55-59,20
21,Number of individuals screened for GBV.,Male,60-64,14
21,Number of individuals screened for GBV.,Male,65+,16
21,Number of individuals screened for GBV.,Female,10-14,1
21,Number of individuals screened for GBV.,Female,15-19,16
21,Number of individuals screened for GBV.,Female,20-24,60
21,Number of individuals screened for GBV.,Female,25-29,127
21,Number of individuals screened for GBV.,Female,30-34,107
21,Number of individuals screened for GBV.,Female,35-39,76
21,Number of individuals screened for GBV.,Female,40-44,49
21,Number of individuals screened for GBV.,Female,45-49,28
21,Number of individuals screened for GBV.,Female,50-54,20
21,Number of individuals screened for GBV.,Female,55-59,5
21,Number of individuals screened for GBV.,Female,60-64,7
21,Number of individuals screened for GBV.,Female,65+,3
22,Number eligible for GBV services.,Male,10-14,0
22,Number eligible for GBV services.,Male,15-19,2
22,Number eligible for GBV services.,Male,20-24,8
22,Number eligible for GBV services.,Male,25-29,4
22,Number eligible for GBV services.,Male,30-34,8
22,Number eligible for GBV services.,Male,35-39,11
22,Number eligible for GBV services.,Male,40-44,6
22,Number eligible for GBV services.,Male,45-49,3
22,Number eligible for GBV services.,Male,50-54,2
22,Number eligible for GBV services.,Male,55-59,0
22,Number eligible for GBV services.,Male,60-64,0
22,Number eligible for GBV services.,Male,65+,2
22,Number eligible for GBV services.,Female,10-14,0
22,Number eligible for GBV services.,Female,15-19,0
22,Number eligible for GBV services.,Female,20-24,9
22,Number eligible for GBV services.,Female,25-29,3
22,Number eligible for GBV services.,Female,30-34,3
22,Number eligible for GBV services.,Female,35-39,2
22,Number eligible for GBV services.,Female,40-44,9
22,Number eligible for GBV services.,Female,45-49,0
22,Number eligible for GBV services.,Female,50-54,0
22,Number eligible for GBV services.,Female,55-59,0
22,Number eligible for GBV services.,Female,60-64,0
22,Number eligible for GBV services.,Female,65+,0
23,Number of people elligible for clinical services for GBV.,Male,10-14,0
23,Number of people elligible for clinical services for GBV.,Male,15-19,0
23,Number of people elligible for clinical services for GBV.,Male,20-24,0
23,Number of people elligible for clinical services for GBV.,Male,25-29,0
23,Number of people elligible for clinical services for GBV.,Male,30-34,0
23,Number of people elligible for clinical services for GBV.,Male,35-39,0
23,Number of people elligible for clinical services for GBV.,Male,40-44,0
23,Number of people elligible for clinical services for GBV.,Male,45-49,0
23,Number of people elligible for clinical services for GBV.,Male,50-54,0
23,Number of people elligible for clinical services for GBV.,Male,55-59,0
23,Number of people elligible for clinical services for GBV.,Male,60-64,0
23,Number of people elligible for clinical services for GBV.,Male,65+,0
23,Number of people elligible for clinical services for GBV.,Female,10-14,0
23,Number of people elligible for clinical services for GBV.,Female,15-19,0
23,Number of people elligible for clinical services for GBV.,Female,20-24,0
23,Number of people elligible for clinical services for GBV.,Female,25-29,0
23,Number of people elligible for clinical services for GBV.,Female,30-34,0
23,Number of people elligible for clinical services for GBV.,Female,35-39,0
23,Number of people elligible for clinical services for GBV.,Female,40-44,0
23,Number of people elligible for clinical services for GBV.,Female,45-49,0
23,Number of people elligible for clinical services for GBV.,Female,50-54,0
23,Number of people elligible for clinical services for GBV.,Female,55-59,0
23,Number of people elligible for clinical services for GBV.,Female,60-64,0
23,Number of people elligible for clinical services for GBV.,Female,65+,0
24,Number of people reffered for clinical services for GBV.,Male,10-14,0
24,Number of people reffered for clinical services for GBV.,Male,15-19,0
24,Number of people reffered for clinical services for GBV.,Male,20-24,0
24,Number of people reffered for clinical services for GBV.,Male,25-29,0
24,Number of people reffered for clinical services for GBV.,Male,30-34,0
24,Number of people reffered for clinical services for GBV.,Male,35-39,0
24,Number of people reffered for clinical services for GBV.,Male,40-44,0
24,Number of people reffered for clinical services for GBV.,Male,45-49,0
24,Number of people reffered for clinical services for GBV.,Male,50-54,0
24,Number of people reffered for clinical services for GBV.,Male,55-59,0
24,Number of people reffered for clinical services for GBV.,Male,60-64,0
24,Number of people reffered for clinical services for GBV.,Male,65+,0
24,Number of people reffered for clinical services for GBV.,Female,10-14,0
24,Number of people reffered for clinical services for GBV.,Female,15-19,0
24,Number of people reffered for clinical services for GBV.,Female,20-24,0
24,Number of people reffered for clinical services for GBV.,Female,25-29,0
24,Number of people reffered for clinical services for GBV.,Female,30-34,0
24,Number of people reffered for clinical services for GBV.,Female,35-39,0
24,Number of people reffered for clinical services for GBV.,Female,40-44,0
24,Number of people reffered for clinical services for GBV.,Female,45-49,0
24,Number of people reffered for clinical services for GBV.,Female,50-54,0
24,Number of people reffered for clinical services for GBV.,Female,55-59,0
24,Number of people reffered for clinical services for GBV.,Female,60-64,0
24,Number of people reffered for clinical services for GBV.,Female,65+,0
25,Number of people elligible for justice services for GBV.,Male,10-14,0
25,Number of people elligible for justice services for GBV.,Male,15-19,0
25,Number of people elligible for justice services for GBV.,Male,20-24,0
25,Number of people elligible for justice services for GBV.,Male,25-29,0
25,Number of people elligible for justice services for GBV.,Male,30-34,0
25,Number of people elligible for justice services for GBV.,Male,35-39,1
25,Number of people elligible for justice services for GBV.,Male,40-44,0
25,Number of people elligible for justice services for GBV.,Male,45-49,0
25,Number of people elligible for justice services for GBV.,Male,50-54,0
25,Number of people elligible for justice services for GBV.,Male,55-59,0
25,Number of people elligible for justice services for GBV.,Male,60-64,0
25,Number of people elligible for justice services for GBV.,Male,65+,0
25,Number of people elligible for justice services for GBV.,Female,10-14,0
25,Number of people elligible for justice services for GBV.,Female,15-19,0
25,Number of people elligible for justice services for GBV.,Female,20-24,0
25,Number of people elligible for justice services for GBV.,Female,25-29,1
25,Number of people elligible for justice services for GBV.,Female,30-34,0
25,Number of people elligible for justice services for GBV.,Female,35-39,0
25,Number of people elligible for justice services for GBV.,Female,40-44,0
25,Number of people elligible for justice services for GBV.,Female,45-49,0
25,Number of people elligible for justice services for GBV.,Female,50-54,0
25,Number of people elligible for justice services for GBV.,Female,55-59,0
25,Number of people elligible for justice services for GBV.,Female,60-64,0
25,Number of people elligible for justice services for GBV.,Female,65+,0
26,Number of people reffered for justice services for GBV.,Male,10-14,0
26,Number of people reffered for justice services for GBV.,Male,15-19,0
26,Number of people reffered for justice services for GBV.,Male,20-24,0
26,Number of people reffered for justice services for GBV.,Male,25-29,0
26,Number of people reffered for justice services for GBV.,Male,30-34,0
26,Number of people reffered for justice services for GBV.,Male,35-39,2
26,Number of people reffered for justice services for GBV.,Male,40-44,0
26,Number of people reffered for justice services for GBV.,Male,45-49,0
26,Number of people reffered for justice services for GBV.,Male,50-54,0
26,Number of people reffered for justice services for GBV.,Male,55-59,0
26,Number of people reffered for justice services for GBV.,Male,60-64,0
26,Number of people reffered for justice services for GBV.,Male,65+,0
26,Number of people reffered for justice services for GBV.,Female,10-14,0
26,Number of people reffered for justice services for GBV.,Female,15-19,0
26,Number of people reffered for justice services for GBV.,Female,20-24,0
26,Number of people reffered for justice services for GBV.,Female,25-29,2
26,Number of people reffered for justice services for GBV.,Female,30-34,0
26,Number of people reffered for justice services for GBV.,Female,35-39,0
26,Number of people reffered for justice services for GBV.,Female,40-44,0
26,Number of people reffered for justice services for GBV.,Female,45-49,0
26,Number of people reffered for justice services for GBV.,Female,50-54,0
26,Number of people reffered for justice services for GBV.,Female,55-59,0
26,Number of people reffered for justice services for GBV.,Female,60-64,0
26,Number of people reffered for justice services for GBV.,Female,65+,0
27,Number of People elligible for  psychosocial support on GBV.,Male,10-14,0
27,Number of People elligible for  psychosocial support on GBV.,Male,15-19,0
27,Number of People elligible for  psychosocial support on GBV.,Male,20-24,1
27,Number of People elligible for  psychosocial support on GBV.,Male,25-29,0
27,Number of People elligible for  psychosocial support on GBV.,Male,30-34,2
27,Number of People elligible for  psychosocial support on GBV.,Male,35-39,1
27,Number of People elligible for  psychosocial support on GBV.,Male,40-44,1
27,Number of People elligible for  psychosocial support on GBV.,Male,45-49,0
27,Number of People elligible for  psychosocial support on GBV.,Male,50-54,0
27,Number of People elligible for  psychosocial support on GBV.,Male,55-59,0
27,Number of People elligible for  psychosocial support on GBV.,Male,60-64,0
27,Number of People elligible for  psychosocial support on GBV.,Male,65+,0
27,Number of People elligible for  psychosocial support on GBV.,Female,10-14,0
27,Number of People elligible for  psychosocial support on GBV.,Female,15-19,0
27,Number of People elligible for  psychosocial support on GBV.,Female,20-24,1
27,Number of People elligible for  psychosocial support on GBV.,Female,25-29,1
27,Number of People elligible for  psychosocial support on GBV.,Female,30-34,0
27,Number of People elligible for  psychosocial support on GBV.,Female,35-39,0
27,Number of People elligible for  psychosocial support on GBV.,Female,40-44,0
27,Number of People elligible for  psychosocial support on GBV.,Female,45-49,1
27,Number of People elligible for  psychosocial support on GBV.,Female,50-54,0
27,Number of People elligible for  psychosocial support on GBV.,Female,55-59,0
27,Number of People elligible for  psychosocial support on GBV.,Female,60-64,0
27,Number of People elligible for  psychosocial support on GBV.,Female,65+,0
28,Number of People who received psychosocial support on GBV,Male,10-14,0
28,Number of People who received psychosocial support on GBV,Male,15-19,0
28,Number of People who received psychosocial support on GBV,Male,20-24,0
28,Number of People who received psychosocial support on GBV,Male,25-29,0
28,Number of People who received psychosocial support on GBV,Male,30-34,1
28,Number of People who received psychosocial support on GBV,Male,35-39,1
28,Number of People who received psychosocial support on GBV,Male,40-44,1
28,Number of People who received psychosocial support on GBV,Male,45-49,0
28,Number of People who received psychosocial support on GBV,Male,50-54,0
28,Number of People who received psychosocial support on GBV,Male,55-59,0
28,Number of People who received psychosocial support on GBV,Male,60-64,0
28,Number of People who received psychosocial support on GBV,Male,65+,0
28,Number of People who received psychosocial support on GBV,Female,10-14,0
28,Number of People who received psychosocial support on GBV,Female,15-19,0
28,Number of People who received psychosocial support on GBV,Female,20-24,0
28,Number of People who received psychosocial support on GBV,Female,25-29,1
28,Number of People who received psychosocial support on GBV,Female,30-34,0
28,Number of People who received psychosocial support on GBV,Female,35-39,0
28,Number of People who received psychosocial support on GBV,Female,40-44,0
28,Number of People who received psychosocial support on GBV,Female,45-49,0
28,Number of People who received psychosocial support on GBV,Female,50-54,0
28,Number of People who received psychosocial support on GBV,Female,55-59,0
28,Number of People who received psychosocial support on GBV,Female,60-64,0
28,Number of People who received psychosocial support on GBV,Female,65+,0
29,Number of people screened for STIs,Male,10-14,0
29,Number of people screened for STIs,Male,15-19,63
29,Number of people screened for STIs,Male,20-24,145
29,Number of people screened for STIs,Male,25-29,197
29,Number of people screened for STIs,Male,30-34,221
29,Number of people screened for STIs,Male,35-39,183
29,Number of people screened for STIs,Male,40-44,151
29,Number of people screened for STIs,Male,45-49,81
29,Number of people screened for STIs,Male,50-54,45
29,Number of people screened for STIs,Male,55-59,20
29,Number of people screened for STIs,Male,60-64,13
29,Number of people screened for STIs,Male,65+,17
29,Number of people screened for STIs,Female,10-14,0
29,Number of people screened for STIs,Female,15-19,11
29,Number of people screened for STIs,Female,20-24,61
29,Number of people screened for STIs,Female,25-29,122
29,Number of people screened for STIs,Female,30-34,95
29,Number of people screened for STIs,Female,35-39,75
29,Number of people screened for STIs,Female,40-44,45
29,Number of people screened for STIs,Female,45-49,23
29,Number of people screened for STIs,Female,50-54,14
29,Number of people screened for STIs,Female,55-59,4
29,Number of people screened for STIs,Female,60-64,4
29,Number of people screened for STIs,Female,65+,3
30,Number of  people screened positive for STIs referred for services,Male,10-14,0
30,Number of  people screened positive for STIs referred for services,Male,15-19,0
30,Number of  people screened positive for STIs referred for services,Male,20-24,0
30,Number of  people screened positive for STIs referred for services,Male,25-29,0
30,Number of  people screened positive for STIs referred for services,Male,30-34,0
30,Number of  people screened positive for STIs referred for services,Male,35-39,2
30,Number of  people screened positive for STIs referred for services,Male,40-44,1
30,Number of  people screened positive for STIs referred for services,Male,45-49,1
30,Number of  people screened positive for STIs referred for services,Male,50-54,1
30,Number of  people screened positive for STIs referred for services,Male,55-59,0
30,Number of  people screened positive for STIs referred for services,Male,60-64,0
30,Number of  people screened positive for STIs referred for services,Male,65+,0
30,Number of  people screened positive for STIs referred for services,Female,10-14,0
30,Number of  people screened positive for STIs referred for services,Female,15-19,0
30,Number of  people screened positive for STIs referred for services,Female,20-24,0
30,Number of  people screened positive for STIs referred for services,Female,25-29,0
30,Number of  people screened positive for STIs referred for services,Female,30-34,0
30,Number of  people screened positive for STIs referred for services,Female,35-39,0
30,Number of  people screened positive for STIs referred for services,Female,40-44,0
30,Number of  people screened positive for STIs referred for services,Female,45-49,0
30,Number of  people screened positive for STIs referred for services,Female,50-54,0
30,Number of  people screened positive for STIs referred for services,Female,55-59,0
30,Number of  people screened positive for STIs referred for services,Female,60-64,0
30,Number of  people screened positive for STIs referred for services,Female,65+,0
31,Number of  STI cases linked to care,Male,10-14,0
31,Number of  STI cases linked to care,Male,15-19,0
31,Number of  STI cases linked to care,Male,20-24,0
31,Number of  STI cases linked to care,Male,25-29,0
31,Number of  STI cases linked to care,Male,30-34,0
31,Number of  STI cases linked to care,Male,35-39,1
31,Number of  STI cases linked to care,Male,40-44,1
31,Number of  STI cases linked to care,Male,45-49,0
31,Number of  STI cases linked to care,Male,50-54,1
31,Number of  STI cases linked to care,Male,55-59,0
31,Number of  STI cases linked to care,Male,60-64,0
31,Number of  STI cases linked to care,Male,65+,0
31,Number of  STI cases linked to care,Female,10-14,0
31,Number of  STI cases linked to care,Female,15-19,0
31,Number of  STI cases linked to care,Female,20-24,0
31,Number of  STI cases linked to care,Female,25-29,0
31,Number of  STI cases linked to care,Female,30-34,0
31,Number of  STI cases linked to care,Female,35-39,0
31,Number of  STI cases linked to care,Female,40-44,0
31,Number of  STI cases linked to care,Female,45-49,0
31,Number of  STI cases linked to care,Female,50-54,0
31,Number of  STI cases linked to care,Female,55-59,0
31,Number of  STI cases linked to care,Female,60-64,0
31,Number of  STI cases linked to care,Female,65+,0
32,Number of  STI cases referrals completed,Male,10-14,0
32,Number of  STI cases referrals completed,Male,15-19,0
32,Number of  STI cases referrals completed,Male,20-24,0
32,Number of  STI cases referrals completed,Male,25-29,0
32,Number of  STI cases referrals completed,Male,30-34,0
32,Number of  STI cases referrals completed,Male,35-39,1
32,Number of  STI cases referrals completed,Male,40-44,0
32,Number of  STI cases referrals completed,Male,45-49,0
32,Number of  STI cases referrals completed,Male,50-54,1
32,Number of  STI cases referrals completed,Male,55-59,0
32,Number of  STI cases referrals completed,Male,60-64,0
32,Number of  STI cases referrals completed,Male,65+,0
32,Number of  STI cases referrals completed,Female,10-14,0
32,Number of  STI cases referrals completed,Female,15-19,0
32,Number of  STI cases referrals completed,Female,20-24,0
32,Number of  STI cases referrals completed,Female,25-29,0
32,Number of  STI cases referrals completed,Female,30-34,0
32,Number of  STI cases referrals completed,Female,35-39,0
32,Number of  STI cases referrals completed,Female,40-44,0
32,Number of  STI cases referrals completed,Female,45-49,0
32,Number of  STI cases referrals completed,Female,50-54,0
32,Number of  STI cases referrals completed,Female,55-59,0
32,Number of  STI cases referrals completed,Female,60-64,0
32,Number of  STI cases referrals completed,Female,65+,0
33,Number of condoms distributed,Male,10-14,0
33,Number of condoms distributed,Male,15-19,128
33,Number of condoms distributed,Male,20-24,388
33,Number of condoms distributed,Male,25-29,399
33,Number of condoms distributed,Male,30-34,459
33,Number of condoms distributed,Male,35-39,434
33,Number of condoms distributed,Male,40-44,442
33,Number of condoms distributed,Male,45-49,325
33,Number of condoms distributed,Male,50-54,152
33,Number of condoms distributed,Male,55-59,23
33,Number of condoms distributed,Male,60-64,10
33,Number of condoms distributed,Male,65+,20
33,Number of condoms distributed,Female,10-14,0
33,Number of condoms distributed,Female,15-19,0
33,Number of condoms distributed,Female,20-24,264
33,Number of condoms distributed,Female,25-29,303
33,Number of condoms distributed,Female,30-34,242
33,Number of condoms distributed,Female,35-39,76
33,Number of condoms distributed,Female,40-44,166
33,Number of condoms distributed,Female,45-49,97
33,Number of condoms distributed,Female,50-54,172
33,Number of condoms distributed,Female,55-59,51
33,Number of condoms distributed,Female,60-64,0
33,Number of condoms distributed,Female,65+,0
34,Number of people who reported collecting condoms for a repeated time.,Male,10-14,0
34,Number of people who reported collecting condoms for a repeated time.,Male,15-19,0
34,Number of people who reported collecting condoms for a repeated time.,Male,20-24,0
34,Number of people who reported collecting condoms for a repeated time.,Male,25-29,14
34,Number of people who reported collecting condoms for a repeated time.,Male,30-34,15
34,Number of people who reported collecting condoms for a repeated time.,Male,35-39,3
34,Number of people who reported collecting condoms for a repeated time.,Male,40-44,5
34,Number of people who reported collecting condoms for a repeated time.,Male,45-49,208
34,Number of people who reported collecting condoms for a repeated time.,Male,50-54,0
34,Number of people who reported collecting condoms for a repeated time.,Male,55-59,0
34,Number of people who reported collecting condoms for a repeated time.,Male,60-64,0
34,Number of people who reported collecting condoms for a repeated time.,Male,65+,0
34,Number of people who reported collecting condoms for a repeated time.,Female,10-14,0
34,Number of people who reported collecting condoms for a repeated time.,Female,15-19,0
34,Number of people who reported collecting condoms for a repeated time.,Female,20-24,0
34,Number of people who reported collecting condoms for a repeated time.,Female,25-29,12
34,Number of people who reported collecting condoms for a repeated time.,Female,30-34,10
34,Number of people who reported collecting condoms for a repeated time.,Female,35-39,1
34,Number of people who reported collecting condoms for a repeated time.,Female,40-44,1
34,Number of people who reported collecting condoms for a repeated time.,Female,45-49,76
34,Number of people who reported collecting condoms for a repeated time.,Female,50-54,0
34,Number of people who reported collecting condoms for a repeated time.,Female,55-59,0
34,Number of people who reported collecting condoms for a repeated time.,Female,60-64,0
34,Number of people who reported collecting condoms for a repeated time.,Female,65+,0
35,Total number of lubricants distributed,Male,10-14,0
35,Total number of lubricants distributed,Male,15-19,0
35,Total number of lubricants distributed,Male,20-24,24
35,Total number of lubricants distributed,Male,25-29,51
35,Total number of lubricants distributed,Male,30-34,57
35,Total number of lubricants distributed,Male,35-39,81
35,Total number of lubricants distributed,Male,40-44,86
35,Total number of lubricants distributed,Male,45-49,46
35,Total number of lubricants distributed,Male,50-54,63
35,Total number of lubricants distributed,Male,55-59,10
35,Total number of lubricants distributed,Male,60-64,0
35,Total number of lubricants distributed,Male,65+,0
35,Total number of lubricants distributed,Female,10-14,0
35,Total number of lubricants distributed,Female,15-19,0
35,Total number of lubricants distributed,Female,20-24,8
35,Total number of lubricants distributed,Female,25-29,0
35,Total number of lubricants distributed,Female,30-34,4
35,Total number of lubricants distributed,Female,35-39,7
35,Total number of lubricants distributed,Female,40-44,64
35,Total number of lubricants distributed,Female,45-49,39
35,Total number of lubricants distributed,Female,50-54,9
35,Total number of lubricants distributed,Female,55-59,0
35,Total number of lubricants distributed,Female,60-64,0
35,Total number of lubricants distributed,Female,65+,0
36,Number of people sensitised on basic human rights and HIV.,Male,10-14,2
36,Number of people sensitised on basic human rights and HIV.,Male,15-19,185
36,Number of people sensitised on basic human rights and HIV.,Male,20-24,478
36,Number of people sensitised on basic human rights and HIV.,Male,25-29,562
36,Number of people sensitised on basic human rights and HIV.,Male,30-34,492
36,Number of people sensitised on basic human rights and HIV.,Male,35-39,670
36,Number of people sensitised on basic human rights and HIV.,Male,40-44,233
36,Number of people sensitised on basic human rights and HIV.,Male,45-49,306
36,Number of people sensitised on basic human rights and HIV.,Male,50-54,77
36,Number of people sensitised on basic human rights and HIV.,Male,55-59,50
36,Number of people sensitised on basic human rights and HIV.,Male,60-64,24
36,Number of people sensitised on basic human rights and HIV.,Male,65+,24
36,Number of people sensitised on basic human rights and HIV.,Female,10-14,1
36,Number of people sensitised on basic human rights and HIV.,Female,15-19,124
36,Number of people sensitised on basic human rights and HIV.,Female,20-24,145
36,Number of people sensitised on basic human rights and HIV.,Female,25-29,216
36,Number of people sensitised on basic human rights and HIV.,Female,30-34,171
36,Number of people sensitised on basic human rights and HIV.,Female,35-39,219
36,Number of people sensitised on basic human rights and HIV.,Female,40-44,106
36,Number of people sensitised on basic human rights and HIV.,Female,45-49,101
36,Number of people sensitised on basic human rights and HIV.,Female,50-54,31
36,Number of people sensitised on basic human rights and HIV.,Female,55-59,8
36,Number of people sensitised on basic human rights and HIV.,Female,60-64,25
36,Number of people sensitised on basic human rights and HIV.,Female,65+,9
37,Number of healthcare workers trained on medical ethics and human rights.,Male,10-14,0
37,Number of healthcare workers trained on medical ethics and human rights.,Male,15-19,0
37,Number of healthcare workers trained on medical ethics and human rights.,Male,20-24,0
37,Number of healthcare workers trained on medical ethics and human rights.,Male,25-29,0
37,Number of healthcare workers trained on medical ethics and human rights.,Male,30-34,0
37,Number of healthcare workers trained on medical ethics and human rights.,Male,35-39,0
37,Number of healthcare workers trained on medical ethics and human rights.,Male,40-44,0
37,Number of healthcare workers trained on medical ethics and human rights.,Male,45-49,0
37,Number of healthcare workers trained on medical ethics and human rights.,Male,50-54,0
37,Number of healthcare workers trained on medical ethics and human rights.,Male,55-59,0
37,Number of healthcare workers trained on medical ethics and human rights.,Male,60-64,0
37,Number of healthcare workers trained on medical ethics and human rights.,Male,65+,0
37,Number of healthcare workers trained on medical ethics and human rights.,Female,10-14,0
37,Number of healthcare workers trained on medical ethics and human rights.,Female,15-19,0
37,Number of healthcare workers trained on medical ethics and human rights.,Female,20-24,0
37,Number of healthcare workers trained on medical ethics and human rights.,Female,25-29,0
37,Number of healthcare workers trained on medical ethics and human rights.,Female,30-34,0
37,Number of healthcare workers trained on medical ethics and human rights.,Female,35-39,0
37,Number of healthcare workers trained on medical ethics and human rights.,Female,40-44,0
37,Number of healthcare workers trained on medical ethics and human rights.,Female,45-49,0
37,Number of healthcare workers trained on medical ethics and human rights.,Female,50-54,0
37,Number of healthcare workers trained on medical ethics and human rights.,Female,55-59,0
37,Number of healthcare workers trained on medical ethics and human rights.,Female,60-64,0
37,Number of healthcare workers trained on medical ethics and human rights.,Female,65+,0
38a,Number of people who report that their rights were violated.,Male,10-14,0
38a,Number of people who report that their rights were violated.,Male,15-19,0
38a,Number of people who report that their rights were violated.,Male,20-24,1
38a,Number of people who report that their rights were violated.,Male,25-29,0
38a,Number of people who report that their rights were violated.,Male,30-34,0
38a,Number of people who report that their rights were violated.,Male,35-39,0
38a,Number of people who report that their rights were violated.,Male,40-44,0
38a,Number of people who report that their rights were violated.,Male,45-49,0
38a,Number of people who report that their rights were violated.,Male,50-54,0
38a,Number of people who report that their rights were violated.,Male,55-59,0
38a,Number of people who report that their rights were violated.,Male,60-64,0
38a,Number of people who report that their rights were violated.,Male,65+,0
38a,Number of people who report that their rights were violated.,Female,10-14,0
38a,Number of people who report that their rights were violated.,Female,15-19,0
38a,Number of people who report that their rights were violated.,Female,20-24,0
38a,Number of people who report that their rights were violated.,Female,25-29,1
38a,Number of people who report that their rights were violated.,Female,30-34,0
38a,Number of people who report that their rights were violated.,Female,35-39,0
38a,Number of people who report that their rights were violated.,Female,40-44,0
38a,Number of people who report that their rights were violated.,Female,45-49,1
38a,Number of people who report that their rights were violated.,Female,50-54,0
38a,Number of people who report that their rights were violated.,Female,55-59,0
38a,Number of people who report that their rights were violated.,Female,60-64,0
38a,Number of people who report that their rights were violated.,Female,65+,0
38b,Number of people who report that their rights were violated and who sought redress.,Male,10-14,0
38b,Number of people who report that their rights were violated and who sought redress.,Male,15-19,0
38b,Number of people who report that their rights were violated and who sought redress.,Male,20-24,0
38b,Number of people who report that their rights were violated and who sought redress.,Male,25-29,0
38b,Number of people who report that their rights were violated and who sought redress.,Male,30-34,0
38b,Number of people who report that their rights were violated and who sought redress.,Male,35-39,0
38b,Number of people who report that their rights were violated and who sought redress.,Male,40-44,0
38b,Number of people who report that their rights were violated and who sought redress.,Male,45-49,0
38b,Number of people who report that their rights were violated and who sought redress.,Male,50-54,0
38b,Number of people who report that their rights were violated and who sought redress.,Male,55-59,0
38b,Number of people who report that their rights were violated and who sought redress.,Male,60-64,0
38b,Number of people who report that their rights were violated and who sought redress.,Male,65+,0
38b,Number of people who report that their rights were violated and who sought redress.,Female,10-14,0
38b,Number of people who report that their rights were violated and who sought redress.,Female,15-19,0
38b,Number of people who report that their rights were violated and who sought redress.,Female,20-24,0
38b,Number of people who report that their rights were violated and who sought redress.,Female,25-29,1
38b,Number of people who report that their rights were violated and who sought redress.,Female,30-34,0
38b,Number of people who report that their rights were violated and who sought redress.,Female,35-39,0
38b,Number of people who report that their rights were violated and who sought redress.,Female,40-44,0
38b,Number of people who report that their rights were violated and who sought redress.,Female,45-49,0
38b,Number of people who report that their rights were violated and who sought redress.,Female,50-54,0
38b,Number of people who report that their rights were violated and who sought redress.,Female,55-59,0
