indicator_code,indicator_name,sex,age_band,value
5e,Number of People Reached with Condom Use Messages,Female,30-34,203
5e,Number of People Reached with Condom Use Messages,Female,35-39,200
5e,Number of People Reached with Condom Use Messages,Female,40-44,171
5e,Number of People Reached with Condom Use Messages,Female,45-49,135
5e,Number of People Reached with Condom Use Messages,Female,50-54,124
5e,Number of People Reached with Condom Use Messages,Female,55-59,80
5e,Number of People Reached with Condom Use Messages,Female,60-64,16
5e,Number of People Reached with Condom Use Messages,Female,65+,26
5f,Number of People Reached with HIV Treatment Messages,Male,10-14,3
5f,Number of People Reached with HIV Treatment Messages,Male,15-19,47
5f,Number of People Reached with HIV Treatment Messages,Male,20-24,177
5f,Number of People Reached with HIV Treatment Messages,Male,25-29,435
5f,Number of People Reached with HIV Treatment Messages,Male,30-34,400
5f,Number of People Reached with HIV Treatment Messages,Male,35-39,337
5f,Number of People Reached with HIV Treatment Messages,Male,40-44,334
5f,Number of People Reached with HIV Treatment Messages,Male,45-49,390
5f,Number of People Reached with HIV Treatment Messages,Male,50-54,129
5f,Number of People Reached with HIV Treatment Messages,Male,55-59,151
5f,Number of People Reached with HIV Treatment Messages,Male,60-64,74
5f,Number of People Reached with HIV Treatment Messages,Male,65+,32
5f,Number of People Reached with HIV Treatment Messages,Female,10-14,3
5f,Number of People Reached with HIV Treatment Messages,Female,15-19,13
5f,Number of People Reached with HIV Treatment Messages,Female,20-24,66
5f,Number of People Reached with HIV Treatment Messages,Female,25-29,133
5f,Number of People Reached with HIV Treatment Messages,Female,30-34,81
5f,Number of People Reached with HIV Treatment Messages,Female,35-39,193
5f,Number of People Reached with HIV Treatment Messages,Female,40-44,169
5f,Number of People Reached with HIV Treatment Messages,Female,45-49,135
5f,Number of People Reached with HIV Treatment Messages,Female,50-54,55
5f,Number of People Reached with HIV Treatment Messages,Female,55-59,81
5f,Number of People Reached with HIV Treatment Messages,Female,60-64,29
5f,Number of People Reached with HIV Treatment Messages,Female,65+,26
5g,Number of People Reached with ARV Based Prevention Messages,Male,10-14,3
5g,Number of People Reached with ARV Based Prevention Messages,Male,15-19,47
5g,Number of People Reached with ARV Based Prevention Messages,Male,20-24,58
5g,Number of People Reached with ARV Based Prevention Messages,Male,25-29,109
5g,Number of People Reached with ARV Based Prevention Messages,Male,30-34,88
5g,Number of People Reached with ARV Based Prevention Messages,Male,35-39,95
5g,Number of People Reached with ARV Based Prevention Messages,Male,40-44,117
5g,Number of People Reached with ARV Based Prevention Messages,Male,45-49,75
5g,Number of People Reached with ARV Based Prevention Messages,Male,50-54,39
5g,Number of People Reached with ARV Based Prevention Messages,Male,55-59,32
5g,Number of People Reached with ARV Based Prevention Messages,Male,60-64,18
5g,Number of People Reached with ARV Based Prevention Messages,Male,65+,30
5g,Number of People Reached with ARV Based Prevention Messages,Female,10-14,3
5g,Number of People Reached with ARV Based Prevention Messages,Female,15-19,13
5g,Number of People Reached with ARV Based Prevention Messages,Female,20-24,46
5g,Number of People Reached with ARV Based Prevention Messages,Female,25-29,69
5g,Number of People Reached with ARV Based Prevention Messages,Female,30-34,58
5g,Number of People Reached with ARV Based Prevention Messages,Female,35-39,102
